hs6,sic87dd,share,weights_method
120600,119,.88921064,"trade-based"
120600,139,.11078937,"trade-based"
120710,139,1,"no weights needed"
120720,131,1,"no weights needed"
120730,139,1,"no weights needed"
120740,139,1,"no weights needed"
120750,119,1,"no weights needed"
120760,119,1,"no weights needed"
120791,139,1,"no weights needed"
120792,173,1,"no weights needed"
120799,139,.32871062,"trade-based"
120799,173,.67128938,"trade-based"
120810,2075,1,"no weights needed"
120890,2074,1,"no weights needed"
120910,133,1,"no weights needed"
120911,133,1,"no weights needed"
120919,181,1,"no weights needed"
120921,139,1,"no weights needed"
120922,139,1,"no weights needed"
120923,139,1,"no weights needed"
120924,139,1,"no weights needed"
120925,139,1,"no weights needed"
120926,139,1,"no weights needed"
120929,139,1,"no weights needed"
120930,181,1,"no weights needed"
120991,181,1,"no weights needed"
120999,139,.20038167,"trade-based"
120999,181,.79961836,"trade-based"
121010,139,1,"no weights needed"
121020,139,1,"no weights needed"
121110,831,1,"no weights needed"
121120,831,1,"no weights needed"
121130,139,1,"no weights needed"
121140,139,1,"no weights needed"
121190,139,.99437851,"trade-based"
121190,2099,.0056214705,"trade-based"
121210,831,1,"no weights needed"
121220,919,1,"no weights needed"
121230,175,1,"no weights needed"
121291,133,1,"no weights needed"
121292,133,1,"no weights needed"
121299,139,1,"no weights needed"
121300,139,1,"no weights needed"
121410,2048,1,"no weights needed"
121490,139,1,"no weights needed"
130110,831,1,"no weights needed"
130120,831,1,"no weights needed"
130190,831,1,"no weights needed"
130211,831,1,"no weights needed"
130212,831,1,"no weights needed"
130213,2087,1,"no weights needed"
130214,831,1,"no weights needed"
130219,831,.96087104,"trade-based"
130219,2833,.039128974,"trade-based"
130220,2099,1,"no weights needed"
130231,2833,1,"no weights needed"
130232,2099,1,"no weights needed"
130239,2099,1,"trade-based"
140110,831,1,"no weights needed"
140120,831,1,"no weights needed"
140190,831,1,"no weights needed"
140200,831,1,"no weights needed"
140210,831,1,"no weights needed"
140290,831,1,"no weights needed"
140291,831,1,"no weights needed"
140299,831,1,"no weights needed"
140300,139,.45817107,"trade-based"
140300,831,.54182893,"trade-based"
140310,139,1,"no weights needed"
140390,831,1,"no weights needed"
140410,139,1,"no weights needed"
140420,2074,1,"no weights needed"
140490,139,1,"no weights needed"
150100,2011,.41453981,"trade-based"
150100,2077,.58546019,"trade-based"
150200,2011,.13127814,"trade-based"
150200,2077,.86872184,"trade-based"
150300,2077,1,"no weights needed"
150410,2077,1,"no weights needed"
150420,2077,1,"no weights needed"
150430,2077,1,"no weights needed"
150500,2299,.16026998,"trade-based"
150500,2869,.83973002,"trade-based"
150510,2299,1,"no weights needed"
150590,2869,1,"no weights needed"
150600,2077,1,"no weights needed"
150710,2075,1,"no weights needed"
150790,2075,1,"no weights needed"
150810,2076,1,"no weights needed"
150890,2076,1,"no weights needed"
150910,2076,1,"no weights needed"
150990,2076,1,"no weights needed"
151000,2076,1,"no weights needed"
151110,2076,1,"no weights needed"
151190,2076,1,"no weights needed"
151211,2076,1,"no weights needed"
151219,2076,1,"no weights needed"
151221,2074,1,"no weights needed"
151229,2074,.76623452,"trade-based"
151229,2079,.23376548,"trade-based"
151311,2076,1,"no weights needed"
151319,2076,1,"no weights needed"
151321,2076,1,"no weights needed"
151329,2076,1,"no weights needed"
151410,2076,1,"no weights needed"
151411,2076,1,"no weights needed"
151419,2076,1,"no weights needed"
151490,2076,1,"no weights needed"
151491,2076,1,"no weights needed"
151499,2076,1,"no weights needed"
151511,2076,1,"no weights needed"
151519,2076,1,"no weights needed"
151521,2046,1,"no weights needed"
151529,2046,1,"no weights needed"
151530,2076,1,"no weights needed"
151540,2076,1,"no weights needed"
151550,2076,1,"no weights needed"
151560,2076,1,"no weights needed"
151590,2076,1,"no weights needed"
151610,2079,1,"no weights needed"
151620,2079,1,"no weights needed"
151710,2079,1,"no weights needed"
151790,2079,1,"no weights needed"
151800,2076,1,"no weights needed"
151911,2899,1,"no weights needed"
151912,2899,1,"no weights needed"
151913,2899,1,"no weights needed"
151919,2899,1,"no weights needed"
151920,2869,1,"trade-based"
151930,2869,.66666669,"based on number of products"
151930,2899,.33333334,"based on number of products"
152000,2841,1,"no weights needed"
152010,2841,1,"no weights needed"
152090,2841,1,"no weights needed"
152110,2899,1,"no weights needed"
152190,2899,1,"no weights needed"
152200,2843,1,"no weights needed"
160100,2011,1,"no weights needed"
160210,2032,1,"no weights needed"
